24 April 2012   M31 HVC s from Westmeier et al (2008) with my M31 bridge scans
 long        lat       M31-angle  Vlsr    Vlgsr     Name  
 126.66  -24.98     6.1    -278.0      -31.8     'Map'
    129.39  -25.25     8.4    -238.9       -0.3     'Map'
    124.73  -23.34     3.7    -262.4       -9.3      'Deep'
    129.30  -25.14     8.3    -235.1        4.1      'Deep'
    125.38  -22.27     4.0    -430.0     -176.9      'MS'
    121.14  -23.96     2.4    -501.0     -240.3      '1'
    120.75  -23.56     2.0    -509.0     -246.9     '2'
    120.76  -23.36     1.8    -463.0     -200.6     '3'
    121.16  -23.33     1.8    -507.0     -245.5     '4'
    121.22  -23.26     1.7    -409.0     -147.5      '5'
    120.77  -23.14     1.6    -426.0     -163.4      '6'
    119.21  -22.21    -1.9    -518.0     -250.8     '7' 
    120.17  -20.36    -1.5    -442.0     -174.5      '8'
    122.16  -22.55     1.3    -324.0      -63.6    '9'
    122.07  -22.01     0.9    -282.0      -20.7     '10'
    121.43  -20.73    -0.9    -266.0       -1.6     '11'
    121.77  -20.86    -0.9    -223.0       40.4     '12'
    121.51  -18.63    -3.0    -266.0        0.5     '13'
    120.61  -21.55    -0.5    -207.0       58.1     '14'
    121.68  -20.11    -1.5    -206.0       58.5     '15'
    119.40  -18.41    -3.6    -149.0      122.3     '17'
    120.67  -17.48    -4.1    -165.0      104.5     '16'
    121.17  -21.57     0.0    -296.0      -34.0     'M31'
    133.61  -31.33    14.8    -180.0       37.0     'M33'

