24 April 2012  M33 HVCs from Grossi et al and Putman et al 
long    lat   M31-angle   VHelo     VLGSR    Name
 133.72  -30.97    14.6     -83.0      133.2    'AA1'
    135.13  -30.86    15.6    -107.0      105.0    'AA2'
    133.54  -30.80    14.4    -111.0      106.1    'AA3'
    134.74  -31.63    15.7    -122.0       89.8    'AA4'
    135.00  -31.05    15.6    -128.0       84.1    'AA5'
    133.55  -32.57    15.5    -148.0       65.7    'AA6'
    134.90  -32.00    16.1    -155.0       55.7    'AA7'
    134.37  -31.91    15.7    -158.0       54.5    'AA8'
    133.84  -32.73    15.8    -185.0       27.5    'AA9'
    133.10  -32.06    14.9    -188.0       28.1    'AA10'
    134.69  -30.95    15.3    -189.0       24.2    'AA11'
    132.51  -30.88    13.8    -194.0       26.0    'AA12'
    133.52  -30.46    14.2    -196.0       21.7    'AA13'
    131.96  -30.71    13.3    -246.0      -24.0    'AA14'
    132.15  -30.52    13.3    -264.0      -42.2    'AA15'
    134.00  -31.20    15.0    -292.0      -77.1    'AA16'
    132.54  -31.08    13.9    -298.0      -78.4    'AA17'
    133.93  -31.79    15.3    -326.0     -112.0    'AA18'
    133.77  -32.49    15.6    -327.0     -113.8    'AA19'
    133.01  -31.69    14.6    -341.0     -124.0    'AA20'
    132.14  -30.51    13.3    -263.0      -41.2    '9'
    133.78  -32.54    15.7    -148.0       65.1    '12'
    135.01  -31.05    15.6    -127.0       85.0    '13'
    135.94  -30.28    15.9    -125.0       85.4    '14'
