#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-20T14:17:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-20T14:17:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/391/159/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/391/159/table1&-out=Seq&-out=Pref&-out=Suff&-out=RAJ2000&-out=DEJ2000&-out=LRV&-out=LGRV&-out=FWHM&-out=NHI&-out=Flux&-out=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33910159
#Name: J/A+A/391/159
#Title: A search for Compact High-Velocity Clouds (De Heij+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/391/159	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/391/159	    IVOID of underlying data collection
#INFO	creator=De Heij V.	    First author or institution
#INFO	cites=bibcode:2002A&A...391..159D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/391/159	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33910159	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_391_159_table1:
#Name: J/A+A/391/159/table1
#Title: Catalog of high velocity HI features in the LDS
#Column	Seq	(I3)	Running ID number	[ucd=meta.id]
#Column	Pref	(A5)	Name-prefix (one of HVC, CHVC, CHVC:, CHVC?)	[ucd=src.class]
#Column	Suff	(A14)	Name-suffix (LLL.L+BB.B+VVV)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A7)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	LRV	(I4)	LSR (Local Standard of Rest) radial velocity	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	LGRV	(I4)	LGSR (Local Group Standard of Rest) velocity	[ucd=phys.veloc;pos.lg]
#Column	FWHM	(I3)	Velocity FWHM	[ucd=spect.line.width]
#Column	NHI	(F5.2)	Peak HI column density in units of 10^20^cm^-2^	[ucd=phys.columnDensity;stat.max]
#Column	Flux	(I5)	Total HI Flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Seq	Pref	Suff	RAJ2000	DEJ2000	LRV	LGRV	FWHM	NHI	Flux	Simbad
 	 	 	"h:m:s"	"d:m:s"	km/s	km/s	km/s	10+20cm-2	Jy.km/s	
---	-----	--------------	-------	------	----	----	---	-----	-----	------
  1	CHVC 	002.1+03.3-199	17 38.1	-25 26	-199	-253	 38	 0.15	  112	Simbad
  2	CHVC 	004.4+05.7+202	17 34.5	-22 15	 202	 157	 32	 0.16	  121	Simbad
  3	 HVC 	004.7+05.2-091	17 37.0	-22 11	 -91	-134	 37	 0.54	 2384	Simbad
  4	 HVC 	006.1+11.9-111	17 16.3	-17 24	-111	-151	 39	 0.14	  255	Simbad
  5	 HVC 	006.8+14.1-091	17 10.3	-15 39	 -91	-130	 53	 0.12	  150	Simbad
  6	 HVC 	006.9+71.7+117	14 00.7	+18 03	 117	  74	  5	 0.06	   36	Simbad
  7	CHVC 	008.1-05.4-217	18 24.4	-24 34	-217	-238	 20	 0.51	 1139	Simbad
  8	CHVC 	008.7-03.8-215	18 19.5	-23 15	-215	-235	 37	 0.38	  736	Simbad
  9	 HVC 	009.4+15.8-123	17 10.1	-12 34	-123	-151	 21	 0.14	  157	Simbad
 10	 HVC 	010.6+19.1-127	17 01.4	-09 45	-127	-150	 30	 0.09	   43	Simbad
 11	 HVC 	010.9-03.4-205	18 22.2	-21 10	-205	-215	 36	 0.08	   28	Simbad
 12	 HVC 	011.7+51.9+246	15 13.9	+09 11	 246	 213	 69	 0.13	  297	Simbad
 13	 HVC 	013.5+07.1-104	17 49.3	-13 42	-104	-107	 24	 0.40	  405	Simbad
 14	CHVC 	014.8-05.3-171	18 37.3	-18 34	-171	-161	 58	 0.11	   41	Simbad
 15	 HVC 	016.1+50.0-102	15 26.4	+10 37	-102	-121	 76	 0.14	 2350	Simbad
 16	 HVC 	016.4+67.1+092	14 24.1	+18 47	  92	  65	 66	 0.11	  478	Simbad
 17	CHVC 	016.7-25.0-230	19 57.9	-24 45	-230	-202	 14	 0.15	   88	Simbad
 18	 HVC 	016.8+12.3-094	17 37.5	-08 19	 -94	 -86	 20	 1.06	18051	Simbad
 19	 HVC 	016.9-03.3-239	18 33.7	-15 47	-239	-221	 25	 0.10	   56	Simbad
 20	 HVC 	017.0+21.1-148	17 07.6	-03 40	-148	-145	 30	 0.09	  196	Simbad
 21	 HVC 	017.0+77.5+100	13 43.6	+23 07	 100	  69	 57	 0.10	  216	Simbad
 22	 HVC 	017.3+14.3+107	17 31.6	-06 52	 107	 116	 38	 0.20	  230	Simbad
 23	 HVC 	017.4+23.0-097	17 01.7	-02 23	 -97	 -93	109	 0.19	  985	Simbad
 24	 HVC 	017.5+74.5+116	13 56.1	+22 04	 116	  87	  6	 0.07	   47	Simbad
 25	CHVC 	018.3+47.1-147	15 39.7	+10 23	-147	-157	 53	 0.12	   97	Simbad
 26	 HVC 	018.3-05.1-231	18 43.1	-15 21	-231	-205	 25	 0.23	  481	Simbad
 27	 HVC 	018.7+07.7-089	17 57.5	-08 55	 -89	 -69	 44	 0.62	   42	Simbad
 28	 HVC 	019.2-12.8+119	19 13.5	-17 50	 119	 153	 21	 0.09	  103	Simbad
 29	CHVC 	019.2-19.6-263	19 40.0	-20 39	-263	-226	 23	 0.12	   49	Simbad
 30	 HVC 	019.9-18.0-242	19 34.7	-19 20	-242	-203	 11	 0.06	   60	Simbad
 31	 HVC 	020.2+39.5+258	16 09.3	+07 56	 258	 260	 77	 0.10	   41	Simbad
 32	 HVC 	020.9+49.2-418	15 35.3	+12 55	-418	-422	 60	 0.11	   20	Simbad
 33	 HVC 	021.2+77.0+290	13 47.0	+23 49	 290	 264	 81	 0.10	   35	Simbad
 34	 HVC 	021.2-15.3+108	19 26.4	-17 08	 108	 153	 25	 0.26	 1222	Simbad
 35	 HVC 	021.3+62.6-295	14 45.1	+18 48	-295	-309	 61	 0.09	   13	Simbad
 36	 HVC 	021.5-03.0-215	18 41.3	-11 30	-215	-176	 24	 0.10	  140	Simbad
 37	 HVC 	022.5+07.8-098	18 04.6	-05 35	 -98	 -61	 45	 0.25	  533	Simbad
 38	 HVC 	023.0-13.5-285	19 22.6	-14 52	-285	-234	 29	 0.07	   35	Simbad
 39	 HVC 	023.1-51.1-130	21 56.0	-26 47	-130	 -75	 64	 0.14	  382	Simbad
 40	CHVC 	023.5-19.7-234	19 47.0	-16 57	-234	-179	 23	 0.41	 1209	Simbad
 41	 HVC 	023.8+32.3-143	16 40.3	+07 10	-143	-121	 64	 0.10	  454	Simbad
 42	 HVC 	023.9+21.8+254	17 17.9	+02 17	 254	 286	 85	 0.14	  126	Simbad
 43	CHVC 	024.3-01.8-290	18 42.2	-08 31	-290	-238	 20	 0.18	  148	Simbad
 44	 HVC 	024.4+09.0-107	18 03.8	-03 23	-107	 -62	 58	 0.15	  271	Simbad
