Name,l (deg),b (deg),Area (approx.) (arcmin^2),Area (Gaussian) (arcmin^2),Area e (arcmin^2),Amp (K),Amp e (K),Center (VLSR) (km/s),Center (VLGSR) (km/s),Center e (km/s),FWHM (km/s),FWHM e (km/s),Integral (K*km/s),Integral e (K*km/s),NHI (atoms/cm^2),NHI e (atoms/cm^2),MHI (Msun),MHI e (Msun),M Dyn (Msun),M Dyn e (Msun),Angle (degrees)
Cloud 1,130.21150272475808,-25.046024779075484,211.11111111111114,103.12277885408494,14.533410495750418,0.05774346592320121,0.0027604634963285845,-298.3513,-61.64907413132855,0.541,23.2455,1.2739,1.4289697675994706,0.06783499640977948,2.6007249770310364e+18,1.2345969346579866e+17,109399.0470972788,5193.310688121764,92875551.63857505,13322047.814839682,8.998761832139344
Cloud 2,129.46184345820697,-25.2106178415658,388.8888888888889,187.09676508637673,20.03793744027346,0.08108103842948051,0.0018172414677668674,-236.5355,2.0045137457704527,0.3404,31.4255,0.8017,2.711751856135876,0.059915520157842884,4.935388378167294e+18,1.0904624668727405e+17,376662.2668529674,8322.264292458538,228635598.2096954,30213592.833132636,8.433647612103098
Cloud 3,129.07560604232523,-25.09782982833882,155.55555555555557,73.5289760572691,27.631374509051675,0.05572406353302222,0.00304641805191921,-227.3975,12.349431313590372,0.8898,33.1137,2.0952,1.9632895003764343,0.10757663745839711,3.5731868906851103e+18,1.9578948017428275e+17,107171.36279276758,5872.355981565303,159144266.627793,84097092.19713162,8.068451412169376
Cloud 4,126.74305481285941,-25.094426621380887,355.5555555555556,101.26656883471144,10.432368681923982,0.145397331600337,0.0041968440808307665,-276.5827,-30.714065153292154,0.4699,33.4969,1.1065,5.183102439825996,0.14828849085602042,9.433246440483312e+18,2.6988505335795715e+17,389665.3408121476,11148.320141993969,191112282.5227702,15825120.567934236,6.212274289888629
Cloud 5,126.00539444441753,-26.408536658550254,155.55555555555557,89.75357423710092,10.566698671205286,0.0490676837934722,0.005615375257018617,-209.7449,35.98785615903762,1.6402,29.2584,3.8625,1.5282733993149398,0.17470056355169028,2.7814575867531904e+18,3.179550256640763e+17,101833.03732987981,11640.776459032102,137269275.19403246,37364156.77997923,6.550365056749501
Cloud 6,125.60989209209322,-26.819350607747502,166.66666666666669,77.84206861138253,10.245878078689682,0.06155626067170061,0.006894301195230468,-281.1341,-35.08614905433305,2.1452,39.2517,5.0824,2.570293975598993,0.28709839977281165,4.677935035590168e+18,5.225190875865172e+17,148536.45609654122,16591.323505438082,230075537.03328252,61236138.31625212,6.628531759031677
Cloud 7,128.77059370292798,-25.868381262471694,300.00000000000006,96.99667317958486,33.20333320863297,0.06260008514681709,0.00404137572094076,-307.1482,-67.68557336730635,0.8041,25.4746,1.8935,1.6974602798506484,0.10928209857645932,3.08937770932818e+18,1.9889341940915597e+17,122234.09199149987,7869.402453172214,108178133.73208572,62956182.026859485,8.176196500494036
Region A,125.3627367708068,-22.277503833014347,144.44444444444446,138.54423602330988,19.730852632386917,0.0771017279867404,0.009549296585513721,-430.1177,-176.95040585298398,1.0869,17.8749,2.5595,1.4673692777904623,0.18194750284332728,2.6706120855786414e+18,3.311444551748557e+17,150925.9003403676,18714.164932402306,63654306.52777719,19262889.31709568,3.9531931057740297
Region B,126.06041234630017,-23.386437598686985,88.8888888888889,146.20186811643498,40.98989929761049,nan,nan,-338.7,-88.72391420886069,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.869821950267218
Region C,125.55557986041505,-23.316380471646237,111.11111111111113,90.06946137841936,23.38424607382619,nan,nan,-293.7,-42.36446670217279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.413261889446251
Region D,124.6255279161753,-23.327107288114085,55.555555555555564,128.50221364592645,16.910053162917706,nan,nan,-252.4,1.204776606785714,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.644906420531267
Region E,125.41398883663888,-24.247687171253666,100.00000000000001,121.61105162046091,19.59180402011939,0.029471005737088756,0.005745091892200338,-253.4957,-3.090781695479734,0.7533,7.8615,1.7738,0.24651268340502366,0.04815351830256466,4.4865308379714304e+17,8.763940331066768e+16,22256.05594429233,4347.473657148723,11535692.688382547,5536482.163667906,4.737813647394683
Region F,125.40401689505548,-23.728593868182436,122.22222222222224,109.56304379394403,33.542478899265674,0.041891659987192444,0.002612397504769239,-275.0092,-23.85667451907301,1.4813,48.8019,3.4883,2.1765003211163148,0.13472507131738504,3.961230584431693e+18,2.4519962979764077e+17,177034.8289238924,10958.431625775916,421941093.6584703,169761386.20358858,4.463652729940129
Region G,124.56399379445304,-23.97138369129345,88.8888888888889,85.70264758992957,14.305462147605994,nan,nan,-274.3,-21.43721647131335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.944313163381931
Region H,122.98494608877844,-23.035931418887827,200.00000000000003,186.7676832559132,28.241950388068297,0.02098864178032733,0.02146457470051616,-375.8844,-118.00708668646416,20.0842,40.0433,47.2948,0.8947062966629783,0.9151238189390791,1.6283654599266204e+18,1.665525350469124e+18,124056.09787604565,126887.1030353001,370900061.94752246,878961166.375094,2.228968766221603
Region I,121.36518019727093,-23.326550305009448,155.55555555555557,25.498579693228876,6.672499943291396,nan,nan,-386.4,-125.29671656747456,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.7657875841207447
Region J,123.13653829099076,-23.612602800510647,211.11111111111114,169.2218882856142,24.882016245229398,0.043942306018057514,0.004302043945823812,-410.4715,-153.74187967883847,1.7149,35.7015,4.0382,1.67049902860605,0.16363131436794143,3.040308232063011e+18,2.978089921496534e+17,209864.34268631952,20556.95791776779,280638670.07504123,78217690.176667,2.732802090384203
Region K,122.29755634951297,-23.995149935427197,166.66666666666669,110.0656986185184,29.70840577290232,nan,nan,-361.9,-103.81142815069649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.6385295538158644
