Name	RA_hr	RA_min	RA_s	DEC_deg	DEC_arcmin	DEC_arcsec	FieldA	DistFA	FieldV	DistFV	Class	Flux	eFlux	PFlux	RMS	Rmaj	Rmin	PA	norm_name	e_bmaj(arcsec)	e_bmin(arcsec)	e_pa(deg)
HH270VLA1-A	5	51	34.587	2	56	46.01	HH270VLA1	1.1	HH270VLA1	2.3	0	18.902	0.678	14.789	0.32	0.08	0.03	143.9	HH270VLA1A	0.008	0.012	6.7
HH270VLA1-B	5	51	34.6	2	56	45.88	HH270VLA1	0.9	HH270VLA1	2.2	0	17.713	0.726	12.903	0.32	0.1	0.04	141.2	HH270VLA1B	0.008	0.009	5.6
HH270mms1-B	5	51	22.632	2	56	6.8	HH270mms1	0.1	HH270mms	13.4	I	9.574	2.558	7.059	1.06	0.08	0.07	2.7	HH270mms1B	0.055	0.034	68.6
HH270mms1-A	5	51	22.717	2	56	4.98	HH270mms1	2.2	HH270mms	11.7	I	258.935	5.249	68.772	1.11	0.27	0.14	87.4	HH270mms1A	0.006	0.004	1.5
HH270mms2	5	51	22.572	2	55	43.16	HH270mms2	0.4	HH270mms	10.3	Flat	75.444	2.169	14.196	0.38	0.25	0.2	47.3	HH270mms2	0.008	0.008	7.3
HH111MMS-B	5	51	46.066	2	48	30.8	HH111mms	2.8	HH111mms	3.0	I	25.441	4.565	21.905	2.43	0.07	0.04	146.2	HH111MMSB	0.042	0.028	42.0
HH111MMS-A	5	51	46.253	2	48	29.65	HH111mms	0.2	HH111mms	0.0	I	694.088	15.681	101.693	2.28	0.55	0.17	7.6	HH111MMSA	0.013	0.004	0.6
HOPS-367	5	54	36.287	1	53	54.06	HOPS-367	0.4	NAN	NAN	I	1.014	0.215	0.942	0.22	0.0	0.0	0.0	HOPS367	0.000	0.000	0.0
HOPS-7	5	54	20.057	1	50	42.64	HOPS-7	0.2	HOPS-7	0.2	0	44.488	1.213	15.076	0.31	0.26	0.07	154.8	HOPS7	0.008	0.004	0.8
HOPS-5	5	54	32.163	1	48	7.08	HOPS-5	0.1	NAN	NAN	I	44.429	1.172	17.335	0.32	0.19	0.09	12.6	HOPS5	0.006	0.004	1.9
HOPS-4	5	54	53.789	1	47	9.7	HOPS-4	0.4	NAN	NAN	I	4.304	0.594	2.878	0.23	0.12	0.08	12.6	HOPS4	0.032	0.042	26.8
HOPS-354	5	54	24.262	1	44	19.91	HOPS-354	0.5	HOPS-354	0.5	0	54.969	1.08	39.974	0.45	0.08	0.07	158.6	HOPS354	0.004	0.005	14.3
HOPS-3	5	54	56.963	1	42	56.23	HOPS-3	0.1	NAN	NAN	Flat	39.488	1.456	9.283	0.28	0.41	0.09	36.8	HOPS3	0.017	0.006	0.8
HOPS-2	5	54	9.137	1	42	51.7	HOPS-2	0.3	NAN	NAN	I	8.954	0.52	7.107	0.24	0.07	0.04	162.4	HOPS2	0.012	0.018	24.6
HOPS-1	5	54	12.347	1	42	35.48	HOPS-1	0.2	HOPS-1	0.2	I	14.089	0.531	11.711	0.26	0.06	0.03	2.5	HOPS1	0.009	0.017	15.6
HOPS-345	5	47	38.966	0	38	36.21	HOPS-345	0.2	NAN	NAN	I	68.325	1.904	18.273	0.35	0.34	0.13	81.8	HOPS345	0.010	0.005	1.1
HOPS-406	5	47	43.434	0	38	21.31	HOPS-406	1.6	HOPS-406	1.6	0	15.471	0.694	8.174	0.21	0.14	0.11	64.2	HOPS406	0.011	0.012	17.2
HOPS-344	5	47	24.735	0	37	34.83	HOPS-344	0.4	NAN	NAN	I	5.916	0.886	1.698	0.23	0.38	0.04	66.3	HOPS344	0.063	0.034	3.3
HOPS-343	5	47	59.041	0	35	32.83	HOPS-343	0.2	HOPS-343	0.2	I	6.883	0.716	3.852	0.23	0.15	0.11	120.8	HOPS343	0.023	0.019	32.6
HOPS-342	5	47	57.108	0	35	27.12	HOPS-342	0.4	HOPS-343	29.4	I	1.335	0.214	0.948	0.22	0.0	0.0	0.0	HOPS342	0.000	0.000	0.0
HOPS-404	5	48	7.714	0	33	51.83	HOPS-404	1.3	HOPS-404	1.3	0	306.362	6.159	99.488	1.49	0.16	0.16	144.2	HOPS404	0.006	0.005	78.5
HOPS-340	5	47	1.311	0	26	23.04	HOPS-340	1.6	HOPS-340-341	3.7	0	57.346	0.95	36.013	0.37	0.11	0.07	99.7	HOPS340	0.003	0.003	2.8
HOPS-341	5	47	0.914	0	26	21.49	HOPS-341	1.4	HOPS-340-341	2.5	0	27.966	1.057	15.584	0.35	0.15	0.09	145.8	HOPS341	0.008	0.006	4.4
HOPS-338-B	5	46	57.302	0	23	57.97	HOPS-338	7.8	HOPS-338	7.8	0	46.137	1.197	9.36	0.41	0.42	0.08	9.1	HOPS338B	0.012	0.005	0.6
HOPS-338-A	5	46	57.356	0	23	50.43	HOPS-338	0.3	HOPS-338	0.3	0	9.343	0.506	7.308	0.24	0.07	0.04	15.6	HOPS338A	0.013	0.018	42.0
HOPS-337	5	46	55.092	0	23	34.55	HOPS-337	0.1	HOPS-338	37.2	I	30.441	0.762	20.724	0.32	0.09	0.05	45.6	HOPS337	0.004	0.007	7.2
HOPS-336	5	46	2.278	0	23	30.6	HOPS-336	0.1	NAN	NAN	I	1.125	0.217	1.002	0.22	0.0	0.0	0.0	HOPS336	0.000	0.000	0.0
HOPS-393	5	46	42.485	0	23	1.13	HOPS-393	0.2	NAN	NAN	I	4.955	0.622	3.073	0.23	0.15	0.05	32.8	HOPS393	0.024	0.031	15.1
HOPS-366-B	5	47	4.009	0	22	10.45	HOPS-366	0.4	HOPS-361	29.9	I	16.938	0.837	15.132	0.41	0.06	0.03	62.6	HOPS366B	0.013	0.019	30.3
HOPS-366-A	5	47	4.003	0	22	10.33	HOPS-366	0.4	HOPS-361	29.8	I	38.37	0.851	31.889	0.41	0.06	0.04	67.2	HOPS366A	0.006	0.009	17.1
HOPS-361-G-A	5	47	5.367	0	21	50.53	HOPS-361	11.7	HOPS-361	11.7	0	31.588	1.241	27.549	4.54	0.0	0.0	0.0	HOPS361GA	0.000	0.000	0.0
